company,position,location,description,skills
Hone Health,Current openings,Remote,"about hone
hone is an online medical clinic at the forefront of transforming healthcare and enhancing longevity. we use cutting-edge scientific advancements to empower men and women to take control of their health and unlock their full potential. our people are the heart of everything we do and drive our success. we approach every project through our brand values:

champion patient needs
execute relentlessly
communicate constructively
collaborate generously
turn obstacles into opportunity
give with gratitude

hone has been fully virtual from day one and will continue to be a remote-first employer.
 
our ideal candidate
our ideal candidate is a motivated multi-tasker who is invested in work that is fulfilling and impactful. they embrace change and tackle challenges with enthusiasm. they have an âall-inâ disposition towards work, understanding that we are a fast-paced, high-growth organization with evolving priorities. they can excel at both independent tasks and collaborative work, leading with clear and candid communication. they exhibit humble leadershipâthe ability to drive initiatives forward while remaining excited about continuous learning and development opportunities. they feel strongly about being part of a team that advocates for people to live longer and better lives. 
 
benefits
hone wants our team to be in the best condition of their lives, so we offer a range of benefits including:

a remote-first work environment
competitive compensation and equity options
health, dental, and vision insurance coverage
short-term disability coverage
life insurance
flexible spending accounts (fsas)
lifestyle spending accounts (lsas)
supplemental life insurance and ad&d coverage
we follow federal holidays and have uncapped time off
budget for the technology tools you need (laptop, monitor, and/or special software)
a focus on company-sponsored activities to foster engagement (both virtual and in-person)
waived membership fees for any hone team members utilizing hone products

please mention the word **rejuvenating** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",['excel']
Carrot,Current openings,Remote,"create a job alert
level-up your career by having opportunities at carrot sent directly to your inbox.please mention the word **mesmerizes** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Invisible Agency,COBOL Specialist AI Trainer,World Wide,"are you a cobol expert eager to shape the future of ai? largeâscale language models are evolving from clever chatbots into powerful engines of enterprise modernization. with highâquality training data, tomorrowâs ai can democratize legacyâsystems expertise, keep pace with coreâbanking and insurance transformation, and streamline mainframe workflows for teams everywhere. that training data begins with youâwe need your expertise to help power the next generation of ai.

weâre looking for cobol specialists who live and breathe ibm z/os mainframe development, batch and online processing, cics transaction systems, jcl orchestration, db2/ims data access, vsam file design, tso/ispf tooling, and micro focus cobol. youâll challenge advanced language models on topics like copybook architecture and record layouts, ebcdic/ascii conversion, and more.please mention the word **pleasure** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Capgemini,Content Strategist,Chennai,"our client is one of the united statesâ largest insurers, providing a wide range of insurance and financial services products with gross written premium well over us$25 billion (p&c). they proudly serve more than 10 million u.s. households with more than 19 million individual policies across all 50 states through the efforts of over 48,000 exclusive and independent agents and nearly 18,500 employees. finally, our client is part of one the largest insurance groups in the world team function: the messaging and knowledge management team manages both chat operations and enterprise knowledge systems, ensuring agents and customers receive timely, accurate support through ai-enhanced workflows. daily functions include maintaining and optimizing the knowledge base, publishing updates via the wns team, managing chat routing and escalation flows, overseeing content ingestion and chunking for genai, and coordinating change management for tools like google chat and ask service ops. the team drives innovation by embedding generative aiâ and unified searchâ into agent and customer experiencesâenabling conversational search, automated summarization, and predictive prompts that reduce contact volume, improve handle time, and enhance self-service capabilities we are seeking a content strategist (ai-optimized) with a strong foundation in user behavior analysis, ai/llm capabilities, and intuitive search experience design. this role is pivotal in enhancing the effectiveness of ai-powered search tools by ensuring high-quality content, minimizing hallucinations, and improving user interaction through strategic prompt engineering and training.key responsibilities:monitor ai search usage and performance metrics to identify patterns, gaps, and areas for improvement.analyze and troubleshoot poor ai outputs, including hallucinations, irrelevant results, or misinterpretations.design and maintain a âgolden setâ of benchmark data/questions for llm testing and performance evaluation.collaborate with cross-functional teams to align content strategies with user needs and business goals.conduct user training sessions and create documentation to improve ai tool adoption and effective usage.leverage ai tools to streamline workflows, generate content, and analyze data for insights.maintain documentation and reporting using microsoft office and google workspace tools.
total work experience : 5 yrs to 9 yrsenglish proficiency : intermediaterequired branch(es) of study : understands llm/ generative ai, google, and content managementskills requiredcontent management - intermediatellm, generative ai, and prompt engineering - must to haveexcel - advanced (7+ years)llm - intermediate (4-6 years)office suite - intermediate (4-6 years)google and google gemini - intermediate (4-6 years) - must to have 
competitive compensation and benefits package: competitive salary and performance-based bonuses comprehensive benefits package career development and training opportunities flexible work arrangements (remote and/or office-based) dynamic and inclusive work culture within a globally renowned group private health insurance pension plan paid time off training & development note: benefits differ based on employee level.about capgeminicapgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. the group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. it is a responsible and diverse organization of over 340,000 team members in more than 50 countries. with its strong 55-year heritage and deep industry expertise, capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, ai, connectivity, software, digital engineering and platforms. the group â¬22.5 billion in revenues in 2023.https://www.capgemini.com/us-en/about-us/who-we-are/ please mention the word **attentive** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Offshore Launch,Bookkeeper & Budget Analyst,Remote,"create a job alert
level-up your career by having opportunities at offshore launch sent directly to your inbox.please mention the word **splendidly** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Medium,Principal Backend Engineer,Remote - US,help us build the best place to read and write on the internet.please mention the word **propitious** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.,[]
Stand Together,KIP Spring 2026 Global Projects Intern Young Voices,"Washington, DC","the koch internship programâ¯(kip) is a paid, 12-week experiential learning program run by stand together fellowships that offers meaningful work experience at non-profits all over the united states tackling some of our nation's most pressing challenges. eligible candidates will be geographically located within the u.s. and authorized to work in the u.s. through the duration of the program.throughout your internship, you will gain meaningful professional experience at a partner organization and participate in professional development built around a 2-day, in-person summit hosted by stand together fellowships at stand together's headquarters in arlington, virginia, supported by virtual programming that takes place every other thursday between 1- 3:30 pm et. interns will receive either a $7,500 or $5,500 stipend from stand together fellowships depending on whether they are participating full-time (40 hours/week) or part-time (24 hours/week).the programming provided by stand together fellowships focuses on three objectives:1. understanding the foundational principles of a free society such as individual liberty, limited government, free markets, and the rule of law;2. learning the stand together community's vision for change and how a principled approach to problem solving can help address society's biggest challenges; and3. presenting opportunities and pathways to build a career that advances liberty and free society.successful candidates will interview with both our non-profit partner organizations and stand together fellowships staff, so we strongly encourage you to apply in advance!please note that all koch internship program interns must be available every other thursday (jan. 22, feb. 12, feb. 26, march 12, march 26, and april 9) from 1-3:30 pm et for virtual professional development training and the in-person summit at stand together's headquarters in arlington, va feb. 6-feb. 7.about young voices young voices is a global nonprofit organization. we want to define the future of freedom for the next generation, by the next generation. in practice, that means we run a range of programs providing media training to ambitious young writers and speakers. they include our flagship contributor program, a wide range of fellowships, and the liberty comms lab. young voices talent features regularly in top media outlets across the united states and europe.we are seeking a global projects intern. weâre looking for a sharp, proactive candidate who is hardworking and ready to get stuck into a variety of tasks. this role is remote, and open to part-time or full-time work.\nresponsibilities at young voices are wide-ranging and change all the time! here's a non-exhaustive list of some things you might expect to do as a global projects intern with us:researching and writing policy briefing documents for issue campaignsmaintaining up-to-date records in crms (salesforce and hubspot)acting as a second pair of eyes for young voices staff, reviewing output and providing feedbackhelping manage the social media posting calendar for some of young voicesâ accountsassisting with designing graphics and editing videos for social mediaassisting with editing and fact-checking op-eds from our network of 100+ writers around the worldcontributing to brainstorming on programs, strategy, and brandingyou do not need to have practical experience with the responsibilities listed above â but if you do, thatâs a bonus.required skills:excellent verbal and written communication skillsself-starting attitude with the ability to execute assignments both independently and as part of a teamexcellent organizational skills and attention to detailpassion and excitement for meeting and working with incredible people in the liberty nonprofit movementability to work remotelywhen you apply to this internship, please provide a rã©sumã© and a cover letter. in your cover letter, you should:describe young voices' programs and mission, as you understand them.explain what you think makes young voices different from other pro-liberty nonprofits.tell us why you want to be a global projects intern with young voices.\n$5,500 - $7,500 a year\nstand together fellowships believes that diversity in experiences, perspectives, knowledge and ideas fuels creativity, broadens knowledge, and helps drive success. our admissions office treats all program participantsâ¯and applicantsâ¯with honesty, dignity, respectâ¯and sensitivity.â¯we welcome all qualified applicants regardless ofâ¯color,â¯race,â¯religion,â¯religious creed,â¯sex,â¯genderâ¯or gender identity,â¯gender expression,â¯sexual orientation, national origin, citizenship, ethnicity, ancestry, age, physical disability, mental disability, medical condition, pregnancyâ¯(including medical needs which may arise from pregnancy, childbirth, or related medical conditions),â¯military andâ¯veteran status,â¯genetic information,â¯maritalâ¯or familialâ¯status, political affiliation,â¯or any other legallyâ¯recognized protected basis under federal, state or local laws, regulations or ordinances. please mention the word **alluringly** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Applied Intuition,Firmware HIL Engineer,Mountain View,"about applied intuition
applied intuition is the vehicle intelligence company that accelerates the global adoption of safe, ai-driven machines. founded in 2017 and now valued at $15 billion following its recent series f funding round, applied intuition delivers the vehicle os, self-driving system, and toolchain to help customers build intelligent vehicles and shorten time to market. 18 of the top 20 global automakers and major programs across the department of defense trust applied intuition's solutions to deliver vehicle intelligence. applied intuition services the automotive, defense, trucking, construction, mining, and agriculture industries and is headquartered in mountain view, ca, with offices in washington, d.c., san diego, ca, ft. walton beach, fl, ann arbor, mi, london, stuttgart, munich, stockholm, bangalore, seoul, and tokyo. learn more at applied.co.
we are an in-office company, and our expectation is that employees primarily work from their applied intuition office 5 days a week. however, we also recognize the importance of flexibility and trust our employees to manage their schedules responsibly. this may include occasional remote work, starting the day with morning meetings from home before heading to the office, or leaving earlier when needed to accommodate family commitments. (note: for episci job openings, fully remote work will be considered by exception.)please mention the word **exult** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Nansen.ai,Senior Product Designer,"Remote Europe, Remote Asia","nansen is a leading blockchain analytics platform that empowers investors and professionals with real-time, actionable insights derived from on-chain data.the opportunityweâre looking for a senior product designer to help shape the future of nansenâs ecosystem â from points and rewards to web3 activation, agentic experiences, and beyond.youâll design how people interact with ai, data, and incentives in entirely new ways â transforming complex systems into elegant, emotionally resonant experiences.this role is ideal for a designer who thinks beyond screens â someone excited to define how ai, loyalty, and onchain identity come together to create the next generation of crypto ux.responsibilitiesdesign intuitive, high-impact experiences across web, mobile, and agentic interfaces â from early exploration to launch.collaborate deeply with pms, engineers, and researchers to translate ai-driven insights into human-centered products.shape how users interact with ai â from conversational and contextual interfaces to adaptive, learning-driven uis.craft and evolve points and rewards experiences, weaving gamification and loyalty into the broader nansen ecosystem.prototype fast â from low-fidelity flows to interactive, ai-powered experiments that push design beyond the expected.visualize onchain data and actions in ways that feel alive, understandable, and empowering.leverage ai design tools (claude, gpt, cursor, midjourney, etc.) to accelerate ideation, research, and iteration.advance our design system and interaction patterns, ensuring consistency and adaptability across every surface.collaborate with engineering to ensure your designs ship with precision, performance, and polish.run user testing and analyze behaviour, translating insights and analytics into actionable design improvements.mentor, critique, and inspire others through thoughtful feedback, curiosity, and experimentation.requirements5+ years designing digital products across web, mobile, or ai-driven interfaces.a portfolio showcasing clarity, craft, and depth â from beautifully simple flows to systems-level thinking.experience designing or conceptualizing ai-assisted or agentic experiences (e.g. chat, personalization, automation, or adaptive ux).familiar with gamification, loyalty programs, and rewards systems â and how to make engagement feel meaningful, not manipulative.comfortable designing with data, analytics, and experimentation in mind.expert in design tools and methodologies.please mention the word **agreeableness** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Linda Werner & Associates,UX Researcher Mixed Methods,Menlo Park,"position overviewwe are seeking a highly skilled and mission-driven senior ux researcher to join our team on a temporary basis. this role offers a unique opportunity to lead strategic research initiatives focused on helping people find and build community online. as a key contributor to our product and design teams, you will conduct hands-on, primary research to inform product development and drive impactful user experiences.key responsibilitiesdesign and execute qualitative and quantitative research studies, including in-depth interviews, focus groups, concept testing, usability testing, surveys, and diary studiesmanage end-to-end research projectsâfrom scoping and planning to synthesis and presentation of actionable insightstranslate complex research findings into strategic narratives that influence product direction and design decisionscollaborate closely with product managers, designers, engineers, and other researchers to align research outcomes with business goalsuphold high standards of research ethics, data integrity, and inclusive design practiceslead research efforts for seo and discovery experiences within community-focused productsminimum qualifications5â7 years of experience in ux research, applied research, or product r&d, with at least 2 years in a senior or lead capacityproven expertise in advanced qualitative and quantitative research methodsdemonstrated ability to manage and deliver end-to-end research projects independentlystrong communication skills with a track record of influencing cross-functional teamsexperience translating research into product recommendations and strategic insightsauthorized to work in the united statespreferred qualificationsexperience with mixed-methods research approachesfamiliarity with product design and prototyping tools (e.g., figma, sketch)understanding of a/b testing and experimentation frameworksbackground in tech environments or fast-paced product teamsdomain expertise in community, social platforms, or group-based user experienceswhat youâll gainopportunity to work on community-centered productplease mention the word **gains** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",['r']
Filevine,Quality Assurance Analyst II,United States,"filevine is forging the future of legal work with cloud-based workflow tools. we have a reputation for intuitive, streamlined technology that helps professionals manage their organization and serve their clients better. weâre also known for our team of extraordinary and passionate professionals who love working together to help organizations thrive. our success has catapulted filevine to the forefront of our fieldâwe are ranked as one of the most innovative and fastest-growing technology companies in the country by both deloitte and inc.our missionfilevine is building the seamless intersection between legal and business by creating a world- class platform to help professionals scale.role summary:experienced qa professional responsible for leading test initiatives, improving test coverage, and contributing to automation strategies within the software development lifecycle.\nresponsibilitiesdesign and execute advanced test strategies for complex projectsanalyze test results to identify trends and areas of improvementcollaborate with developers to enhance testability and ensure high-quality releaseslead defect triage meetings and assist in root cause analysisexpand test coverage and optimize regression testing processesguide junior qa team members in best testing practicesqualificationsstrong understanding of test automation frameworks and scripting languagesproficiency in api testing tools (e.g., postman, soap ui) and sqlin-depth knowledge of software development and testing methodologiesexperience working in agile environmentssome leadership and mentoring abilitiesbasic programming knowledge preferredbachelorâs degree in computer science or a related field5+ years of experience in software quality assurance\ncompensation information: $140,000 - $160,000the base salary range represents the low and high end of the salary range for this position. the total compensation package for this position will be determined by each individualâs location, qualifications, education, work experience, skills and performance. we believe in the importance of pay equity - the range listed is just one component of filevineâs total compensation package for employees. this position is also eligible for a paid time off policy, as well as a comprehensive benefits package.cool company benefits:- a dynamic, rapidly growing company, focused on helping organizations thrive - medical, dental, & vision insurance (for full-time employees)- competitive & fair pay- maternity & paternity leave (for full-time employees)- short & long-term disability- opportunity to learn from a dedicated leadership team- centrally located open office building in sugar house (onsite employees)- top-of-the-line company swagprivacy policy noticefilevine will handle your personal information according to whatâs outlined in our privacy policy.please mention the word **super** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Sage,Brand Designer,New York,"brand designer
sage is on a mission to improve care and quality of life for older adults, starting with those residing in senior living facilities. falls are the leading cause of injury-related death among adults over 65. and yet, fall prevention and emergency response systems for older adults are archaic and ineffective. at sage we've built a more modern way of understanding when older adults need help, including methods for residents to alert caregivers when in need of help, and corresponding software for caregivers to triage response. our company mission is to create a product that our client counterparts love, and this role is a key part of that objective.
sage is a small, tight team of ambitious, multi-disciplinary entrepreneurs. we are a software-enabled, mission-driven company, and are focused only on the problems that are central to achieving that mission. at sage, we work hard and fast but also know that to build a truly important company, we need to treat our work as a marathon, and not a sprint. the journey matters.
about this role
as sageâs brand designer, youâll design the creative that defines how our brand is experienced externally and internally. youâll partner closely with marketing, content, and product teams to create materials that tell a clear and compelling storyâthrough visuals that are strategic, consistent, and distinctly sage.
youâll own design execution across a wide range of formatsâfrom campaigns and presentations to environmental and event collateralâhelping ensure every expression of sage feels intentional and aligned.
responsibilities

translate sageâs visual identity across marketing, sales, and company communications.
create high-quality design for campaigns, social, email, video, events, and presentations.
maintain and evolve the brand system to ensure visual consistency and scalability.
collaborate with marketing, content, and product partners on concept development and creative execution.
design assets for both digital and physical touchpoints, from web and print to packaging and merchandise.
please mention the word **fans** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Filevine,Senior Javascript Fullstack Engineer,United States,"filevine is forging the future of legal work with cloud-based workflow tools. we have a reputation for intuitive, streamlined technology that helps professionals manage their organization and serve their clients better. weâre also known for our team of extraordinary and passionate professionals who love working together to help organizations thrive. our success has catapulted filevine to the forefront of our fieldâwe are ranked as one of the most innovative and fastest-growing technology companies in the country by both deloitte and inc.our missionfilevine is building the seamless intersection between legal and business by creating a world- class platform to help professionals scale.role summary:we are seeking a talented and experienced senior javascript full stack engineer to join our dynamic team. the ideal candidate will have a passion for creating high-quality, user-friendly web applications, and a deep understanding of the latest web technologies.\nresponsibilitiesdesign, develop, and maintain high-quality web applications using javascript, node.js, and react.collaborate with cross-functional teams to define, design, and ship new features.analyze and resolve technical and application problems.adhere to high-quality development principles while delivering solutions on-time and on-budget.debug production issues across services and multiple levels of the stack with an eye towards improving maintainability over the long term.improve engineering standards, tooling, and processes.qualificationsproficient in javascript, node.js, react, and other relevant web design coding languages.experience with api design and development.strong knowledge of data structures, system design, and algorithms.excellent problem-solving skills.strong understanding of the web development cycle and programming techniques and tools.strong communication skills and ability to work collaboratively within a team.educationb.s. in computer science, information systems, a related field; comparable certifications; or equivalent direct work experience\ncompensation information: $140,000 - 180,000the base salary range represents the low and high end of the salary range for this position. the total compensation package for this position will be determined by each individualâs location, qualifications, education, work experience, skills and performance. we believe in the importance of pay equity - the range listed is just one component of filevineâs total compensation package for employees. this position is also eligible for a paid time off policy, as well as a comprehensive benefits package.cool company benefits:- a dynamic, rapidly growing company, focused on helping organizations thrive - medical, dental, & vision insurance (for full-time employees)- competitive & fair pay- maternity & paternity leave (for full-time employees)- short & long-term disability- opportunity to learn from a dedicated leadership team- centrally located open office building in sugar house (onsite employees)- top-of-the-line company swagprivacy policy noticefilevine will handle your personal information according to whatâs outlined in our privacy policy.please mention the word **likes** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Galaxy Digital Services,Assoc Protocol Engineer,US,"who we are:galaxy is a global leader in digital assets and data center infrastructure, delivering solutions that accelerate progress in finance and artificial intelligence. we believe that blockchain and digital asset innovation will transform how value moves through the world â and weâre building the products and services to make that future a reality. our institutional digital assets platform spans trading, investment banking, asset management, staking, self-custody, and tokenization technology. we also invest in and operate cutting-edge data center infrastructure to power ai and high-performance computing, addressing the growing demand for scalable energy and compute in the u.s. we work at the intersection of finance and technology, helping institutions, startups, and developers navigate a digitally native economy. led by ceo and founder michael novogratz, our team blends deep crypto expertise with institutional experience and a shared commitment to shaping the future of web3 and ai. galaxy is headquartered in new york city, with offices across north america, europe, the middle east, and asia. to learn more about our businesses and products, visit www.galaxy.com.what we value:we are a diverse team of free thinkers, and fast movers united to help investors and creators energize the global economy. we are looking for individuals who thrive in a culture of builders and overachievers and embrace high performance, transparent feedback, and a mission-first approach. our culture shapes our way of working and gets us where we want to be.seek excellence.be selective to be effective.be highly aligned, loosely coupled.disagree transparently.encourage independent decision-making.build dream teams.who you are:you are an experienced protocol, devops or sre engineer with;prior software engineering or application development experience in modern programming language (.net, go, rust, c/c++, java, etc.)experience or awareness in working with chainlink systems, services or ecosystem.ability to script in a high-level scripting language like python, perl or bash coupled with an ability to identify human processes and automate them.please mention the word **prosperous** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.","['python', 'java']"
Corcept Therapeutics,Senior Manager Field Operations,Remote,"corcept is leading the way in the research and development of cortisol modulators, molecules that regulate cortisol activity at the glucocorticoid receptor (gr). to date, we have discovered more than 1,000 selective proprietary cortisol modulators.

in 2012, we received fda approval of korlymâ® (mifepristone), the first approved treatment for hypercortisolism (cushingâs syndrome).

today, our team and collaborators continue to unlock the possibilities of cortisol modulation as a way to treat serious diseases. with more than 30 ongoing studies across a wide range of disease areas, including endocrinology, oncology, metabolism, and neurology, we remain dedicated to advancing the possibilities of cortisol modulation.

what began as a ripple of scientific truth is now poised to unleash a sea change of discovery representing a fundamental shift in the way we understand and treat disease.

the senior manager, field operations serves as a strategic and operational leader supporting the oncology commercial organization. this individual will drive excellence in field operations, process design, compliance, and execution while fostering engagement, collaboration, and accountability across the commercial ecosystem. the role requires strong executive presence, strategic thinking, and the ability to translate complex operational needs into actionable solutions that enable high performance and organizational readiness for launch and beyond.

responsibilities:
- lead the development and delivery of internal communications, including team updates, leadership messaging, and structured meeting cadences, to ensure alignment, engagement, and transparency across the oncology field sales function
- drive process optimization by identifying inefficiencies, proposing strategic solutions, and leading implementation to enhance operational excellence and scalability.please mention the word **smile** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Spreetail,Senior Data Analyst Supply Chain,Remote,"spreetail propels brands to increase their ecommerce market share across the globe while improving their operational costs. learn how we are building one of the fastest-growing ecommerce companies in history: www.spreetail.com. as a senior transportation analyst, you will conduct an in-depth analysis of transportation data to identify trends, patterns, and opportunities for improvement. you will collaborate with team members to understand their analytics needs and the best possible solutions. responsibilities will include developing, refining, and maintaining key performance indicators (kpis) to measure the effectiveness and efficiency of transportation operations.please mention the word **cherub** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Crux,Product Manager,,"weâre supercharging the clean economycrux is the capital markets platform changing the way clean energy and manufacturing projects are financed in the us. our platform, market intelligence, and expert team help developers and manufacturers unlock financing through all stages of project development and operation.our team of 70+ is composed of experts in energy, tax, finance, government, and technology. we have raised $77 million in capital from some of the best investors, including andreessen horowitz, lowercarbon capital, new system ventures, overture, ardent venture partners, qed, canapi, and others. these funds are joined by strategic investors including pattern energy, clearway energy, edf renewables, intersect power, ls power, orsted, hartree partners, liberty mutual strategic ventures, massmutual ventures, and omers ventures.an inflection point in american energy and manufacturingenergy demand is growing for the first time in 20 years, driven by manufacturing, transportation, electrification, and data centers. simultaneously, hundreds of billions of dollars are being invested in domestic supply chains for critical minerals and components. developers and manufacturers will require trillions of dollars in capital to meet this growing demand.prior to crux, the capital markets supporting this transformation were opaque, fragmented, and complex. at crux, we recognized the missing infrastructure: a bespoke capital markets platform for the next century of american energy and industry. by connecting counterparties, providing market intelligence, and streamlining transactions, we unlock faster decision-making, lower cost of capital, and accelerated deployment.the rolewe are looking for our second product manager, to make the experience of negotiating, underwriting, and closing transactions on crux efficient, intelligent, and seamless.that will require a combination of collaboration and workflow software, delivered alongside llm-driven automation and first and third-party data. all of that will have to be packaged and served to those doing this work, whether they are lawyers, investors, lenders, tax credit buyers, or crux employees.this product manager will work in close collaboration with our experienced engineering, product, design, and customer-facing teams to develop that vision, and bring it to life.what youâll doown the roadmap for either underwriting tax credit transactions on the crux platformwork directly with customers, partners, and customer-facing teams to develop a vision and strategy for that problem space, which spans both workflow and automation featuresiterate quickly with those same stakeholders to quickly improve the features in marketpartner with engineering & design to drive implementation of those featuresdeeply understand our customers and market: the individual projects, surrounding market environment, and workflows to be able to build features purpose-built for their needsdefine & implement metrics to help us understand whatâs working and whatâs notactively participate in company-building: help us improve crux for our customers & as a teamwho you areexecutional excellence: you are high ownership, and are known to solve customer problems by those who have worked with you. you likely have 5-8 years of experience in product management. you may have worked in the following similar domains: b2b software, complex industries that interact with the built world or operationally-intensive businessesllm-native: you have built features that leverage llms, and have a mature product sense for where and how to deploy them, are fluent in developing evaluations, and are excited about applications in industries like oursstrategic rigor: you are thoughtful in your strategic thinking. we find that usually means strengths in modulating communication altitude, understanding & articulating first & second-order effects of things, identifying novel & elegant solutions to problems and a crisp ability to disentangle problemsstartup minded: you are excited about working at an early-stage startup, which involves wearing multiple different hats, iterating a lot, and owning a significant product surface areamission oriented: you want to use your skills to improve sustainable finance, in a collaborative team environmentwhat we offercompensation: $175,000- $225,000, company wide bonus between $15,000-$30,000 tied to revenue goals. equity in the form of stock options.fully-paid employee medical, dental and vision benefits, as well as 70% dependent coverage.remote-first company with quarterly company wide onsite meetings and team meetings.$400 wfh stipendmission-driven company with the best team aroundour valuescare for each other: we want to work on a team where people support each other - in their growth, in their work, and towards our shared mission. when we do that, we have fun.build and improve rapidly: we move quickly. to do that, we focus, consistently ask ourselves if we are prioritizing the right things, and execute them as best as possible.focus unremittingly on customers: our first obligation is to our customers and partners, and we keep their needs front and center in everything we do.demonstrate ownership: we are all owners of crux. this is our team, our company, our product and we show that to each other.convene a team that reflects the breadth of experiences in the country: weâre building a team with a wide range of backgrounds and a culture where everyone can thrive.we provide equal employment opportunities to all applicants without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by law.please mention the word **supple** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
